epoch,acc,loss
0,0.9605912566529431,0.09471223140355337
1,0.9609018367301831,0.09186375854849953
2,0.9611894437431127,0.0902951884311639
3,0.9616471401381054,0.088958199171023
4,0.9620460790753874,0.08759907968965537
5,0.9629623567738417,0.08614351062166163
6,0.9645775500187779,0.0842160118503401
7,0.966615538931075,0.08156381980451492
8,0.9691903055591929,0.07794112702954682
9,0.97089960112448,0.07438208583072861
10,0.9721264585810201,0.07154099821386077
11,0.9726305439796674,0.06902362044804666
12,0.9729203598937944,0.06769843523140032
13,0.9732035489736125,0.06674131232349836
14,0.9734650902378209,0.06610405071736083
15,0.9735803978255912,0.06556300818230873
16,0.9736250191190426,0.06508353093622239
17,0.9738962796649748,0.06486843088657217
18,0.9738896526615035,0.0647027133022841
19,0.9740107039837604,0.06414699220075913
