epoch,acc,loss
0,0.9748346394626072,0.06131837983113435
1,0.974629205932999,0.062002018813193525
2,0.9748505443065405,0.06135588575728211
3,0.9749450875981643,0.06105714289280518
4,0.9749561323774872,0.06096697773951158
5,0.9749044424356971,0.06110675359787556
6,0.9750117980662232,0.06078504031590862
7,0.9749702695358649,0.0608590502872587
8,0.9750360962278734,0.0605200130060287
9,0.9751491956086857,0.06032512992217562
10,0.9751496372897873,0.06007300518178878
11,0.9753029390253402,0.05971731862805862
12,0.975325470488917,0.05980832387278601
13,0.9752662704955507,0.059709386003851395
14,0.9748015049196632,0.06041158794551742
15,0.9754553573986899,0.05954263212814579
16,0.9753678827764712,0.0595966359585745
17,0.9754809812751327,0.059238965664388764
18,0.9755556443277901,0.059062458888389686
19,0.9756444447043006,0.05911833357400074
