epoch,acc,loss
0,0.9620014577803562,0.0869697206753382
1,0.9625342596252562,0.08488678066986881
2,0.9631191926639278,0.08308103120627854
3,0.9641909812768915,0.08082038045529656
4,0.965556561867765,0.0783351961509292
5,0.967440365410867,0.07573043866296128
6,0.9696488860691928,0.07245780464205213
7,0.971771699240604,0.06866407335633902
8,0.9734217946196629,0.06530319601837269
9,0.9739621063806829,0.06299131725210778
10,0.9742581072710605,0.061613798235863056
11,0.9744277558488013,0.060821451871242015
12,0.9742735701961592,0.060702267619961024
13,0.9744096423401395,0.060289435203574146
14,0.9743592780876518,0.06035180514204338
15,0.9744816546201637,0.059778592119299805
16,0.974824485635777,0.05878968695121206
17,0.9747803062818052,0.05900538676667544
18,0.9745364366294381,0.05990289713197749
19,0.9748929633962945,0.05984051555418062
